Category: All categories,
,
Week,brexit: (England)
2016-01-03,0.5
2016-01-10,0.5
2016-01-17,0.5
2016-01-24,0.5
2016-01-31,1
2016-02-07,1
2016-02-14,2
2016-02-21,4
2016-02-28,2
2016-03-06,3
2016-03-13,2
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,3
2016-04-17,4
2016-04-24,3
2016-05-01,3
2016-05-08,5
2016-05-15,6
2016-05-22,7
2016-05-29,10
2016-06-05,17
2016-06-12,23
2016-06-19,100
2016-06-26,50
2016-07-03,17
2016-07-10,11
2016-07-17,8
2016-07-24,6
2016-07-31,5
2016-08-07,4
2016-08-14,4
2016-08-21,4
2016-08-28,4
2016-09-04,5
2016-09-11,5
2016-09-18,4
2016-09-25,5
2016-10-02,7
2016-10-09,8
2016-10-16,7
2016-10-23,6
2016-10-30,11
2016-11-06,9
2016-11-13,6
2016-11-20,5
2016-11-27,6
2016-12-04,8
2016-12-11,5
2016-12-18,4
2016-12-25,4
2017-01-01,4
2017-01-08,5
2017-01-15,11
2017-01-22,9
2017-01-29,9
2017-02-05,7
2017-02-12,5
2017-02-19,6
2017-02-26,8
2017-03-05,6
2017-03-12,10
2017-03-19,8
2017-03-26,14
2017-04-02,8
2017-04-09,5
2017-04-16,6
2017-04-23,6
2017-04-30,7
2017-05-07,6
2017-05-14,5
2017-05-21,4
2017-05-28,5
2017-06-04,7
2017-06-11,6
2017-06-18,7
2017-06-25,6
2017-07-02,5
2017-07-09,5
2017-07-16,5
2017-07-23,5
2017-07-30,5
2017-08-06,4
2017-08-13,4
2017-08-20,4
2017-08-27,5
2017-09-03,6
2017-09-10,6
2017-09-17,6
2017-09-24,5
2017-10-01,5
2017-10-08,6
2017-10-15,7
2017-10-22,6
2017-10-29,5
2017-11-05,6
2017-11-12,6
2017-11-19,6
2017-11-26,7
2017-12-03,10
2017-12-10,7
2017-12-17,6
2017-12-24,4
2017-12-31,4
2018-01-07,5
2018-01-14,4
2018-01-21,4
2018-01-28,6
2018-02-04,6
2018-02-11,5
2018-02-18,6
2018-02-25,6
2018-03-04,6
2018-03-11,5
2018-03-18,6
2018-03-25,5
2018-04-01,4
2018-04-08,4
2018-04-15,4
2018-04-22,4
2018-04-29,5
2018-05-06,5
2018-05-13,5
2018-05-20,5
2018-05-27,4
2018-06-03,6
2018-06-10,7
2018-06-17,7
2018-06-24,7
2018-07-01,8
2018-07-08,12
2018-07-15,11
2018-07-22,9
2018-07-29,9
2018-08-05,8
2018-08-12,7
2018-08-19,9
2018-08-26,8
2018-09-02,8
2018-09-09,9
2018-09-16,13
2018-09-23,12
2018-09-30,11
2018-10-07,10
2018-10-14,16
2018-10-21,12
2018-10-28,10
2018-11-04,11
2018-11-11,34
2018-11-18,18
2018-11-25,20
2018-12-02,20
2018-12-09,30
2018-12-16,19
2018-12-23,10
2018-12-30,12
2019-01-06,21
2019-01-13,50
2019-01-20,24
2019-01-27,25
2019-02-03,21
2019-02-10,20
2019-02-17,22
2019-02-24,20
2019-03-03,20
2019-03-10,51
2019-03-17,57
2019-03-24,64
2019-03-31,45
2019-04-07,33
2019-04-14,14
2019-04-21,13
2019-04-28,13
2019-05-05,14
2019-05-12,15
2019-05-19,23
