Category: All categories,
,
Day,brexit: (England)
2016-01-01,1
2016-01-02,4
2016-01-03,2
2016-01-04,2
2016-01-05,2
2016-01-06,3
2016-01-07,3
2016-01-08,2
2016-01-09,1
2016-01-10,4
2016-01-11,4
2016-01-12,3
2016-01-13,4
2016-01-14,3
2016-01-15,3
2016-01-16,3
2016-01-17,4
2016-01-18,4
2016-01-19,4
2016-01-20,4
2016-01-21,5
2016-01-22,6
2016-01-23,3
2016-01-24,4
2016-01-25,4
2016-01-26,4
2016-01-27,6
2016-01-28,6
2016-01-29,4
2016-01-30,5
2016-01-31,3
2016-02-01,8
2016-02-02,7
2016-02-03,12
2016-02-04,11
2016-02-05,10
2016-02-06,6
2016-02-07,9
2016-02-08,12
2016-02-09,11
2016-02-10,8
2016-02-11,12
2016-02-12,9
2016-02-13,5
2016-02-14,10
2016-02-15,12
2016-02-16,17
2016-02-17,13
2016-02-18,19
2016-02-19,32
2016-02-20,55
2016-02-21,66
2016-02-22,100
2016-02-23,75
2016-02-24,47
2016-02-25,37
2016-02-26,40
2016-02-27,40
2016-02-28,36
2016-02-29,32
2016-03-01,35
2016-03-02,29
2016-03-03,38
2016-03-04,31
2016-03-05,23
2016-03-06,22
2016-03-07,30
2016-03-08,37
2016-03-09,48
2016-03-10,39
2016-03-11,13
2016-03-11,33
2016-03-12,10
2016-03-13,10
2016-03-14,12
2016-03-15,14
2016-03-16,11
2016-03-17,10
2016-03-18,10
2016-03-19,9
2016-03-20,9
2016-03-21,13
2016-03-22,14
2016-03-23,12
2016-03-24,12
2016-03-25,8
2016-03-26,12
2016-03-27,10
2016-03-28,8
2016-03-29,10
2016-03-30,12
2016-03-31,12
2016-04-01,10
2016-04-02,8
2016-04-03,11
2016-04-04,14
2016-04-05,12
2016-04-06,10
2016-04-07,15
2016-04-08,11
2016-04-09,9
2016-04-10,9
2016-04-11,12
2016-04-12,20
2016-04-13,17
2016-04-14,16
2016-04-15,15
2016-04-16,13
2016-04-17,16
2016-04-18,23
2016-04-19,24
2016-04-20,18
2016-04-21,17
2016-04-22,23
2016-04-23,22
2016-04-24,20
2016-04-25,23
2016-04-26,17
2016-04-27,17
2016-04-28,19
2016-04-29,17
2016-04-30,13
2016-05-01,13
2016-05-02,12
2016-05-03,17
2016-05-04,17
2016-05-05,21
2016-05-06,15
2016-05-07,12
2016-05-08,17
2016-05-09,29
2016-05-10,24
2016-05-11,25
2016-05-12,33
2016-05-13,33
2016-05-14,26
2016-05-15,31
2016-05-16,34
2016-05-17,34
2016-05-18,34
2016-05-19,31
2016-05-20,35
2016-05-21,28
2016-05-22,31
2016-05-23,46
2016-05-24,43
2016-05-25,43
2016-05-26,40
2016-05-27,38
2016-05-28,25
2016-05-29,31
2016-05-30,30
2016-05-31,54
2016-06-01,63
2016-06-02,62
2016-06-03,66
2016-06-04,53
2016-06-05,61
2016-06-06,87
2016-06-07,99
2016-06-08,86
2016-06-09,7
2016-06-09,100
2016-06-10,7
2016-06-11,6
2016-06-12,6
2016-06-13,7
2016-06-14,10
2016-06-15,11
2016-06-16,9
2016-06-17,8
2016-06-18,8
2016-06-19,10
2016-06-20,13
2016-06-21,15
2016-06-22,23
2016-06-23,46
2016-06-24,100
2016-06-25,39
2016-06-26,30
2016-06-27,28
2016-06-28,21
2016-06-29,16
2016-06-30,13
2016-07-01,10
2016-07-02,8
2016-07-03,7
2016-07-04,8
2016-07-05,7
2016-07-06,6
2016-07-07,5
2016-07-08,5
2016-07-09,37
2016-07-09,4
2016-07-10,34
2016-07-10,4
2016-07-11,51
2016-07-11,5
2016-07-12,44
2016-07-12,5
2016-07-13,50
2016-07-13,5
2016-07-14,40
2016-07-14,4
2016-07-15,28
2016-07-15,3
2016-07-16,22
2016-07-16,2
2016-07-17,29
2016-07-17,3
2016-07-18,35
2016-07-18,4
2016-07-19,29
2016-07-19,3
2016-07-20,27
2016-07-20,3
2016-07-21,29
2016-07-21,3
2016-07-22,24
2016-07-22,3
2016-07-23,19
2016-07-23,2
2016-07-24,19
2016-07-24,2
2016-07-25,24
2016-07-25,3
2016-07-26,20
2016-07-26,2
2016-07-27,22
2016-07-27,2
2016-07-28,21
2016-07-28,2
2016-07-29,19
2016-07-29,2
2016-07-30,15
2016-07-30,2
2016-07-31,14
2016-07-31,1
2016-08-01,19
2016-08-01,2
2016-08-02,18
2016-08-02,2
2016-08-03,18
2016-08-03,2
2016-08-04,19
2016-08-04,2
2016-08-05,18
2016-08-05,2
2016-08-06,13
2016-08-06,1
2016-08-07,13
2016-08-07,1
2016-08-08,17
2016-08-08,2
2016-08-09,16
2016-08-09,2
2016-08-10,17
2016-08-10,2
2016-08-11,13
2016-08-11,1
2016-08-12,13
2016-08-12,1
2016-08-13,10
2016-08-13,1
2016-08-14,10
2016-08-14,1
2016-08-15,15
2016-08-15,1
2016-08-16,15
2016-08-16,2
2016-08-17,13
2016-08-17,1
2016-08-18,14
2016-08-18,1
2016-08-19,12
2016-08-19,1
2016-08-20,11
2016-08-20,1
2016-08-21,10
2016-08-21,1
2016-08-22,14
2016-08-22,1
2016-08-23,14
2016-08-23,2
2016-08-24,14
2016-08-24,2
2016-08-25,14
2016-08-25,1
2016-08-26,12
2016-08-26,1
2016-08-27,12
2016-08-27,1
2016-08-28,12
2016-08-28,1
2016-08-29,13
2016-08-29,1
2016-08-30,16
2016-08-30,2
2016-08-31,17
2016-08-31,2
2016-09-01,17
2016-09-01,2
2016-09-02,14
2016-09-02,2
2016-09-03,14
2016-09-03,2
2016-09-04,17
2016-09-04,2
2016-09-05,23
2016-09-05,3
2016-09-06,19
2016-09-06,2
2016-09-07,19
2016-09-07,2
2016-09-08,17
2016-09-09,15
2016-09-10,13
2016-09-11,14
2016-09-12,16
2016-09-13,15
2016-09-14,17
2016-09-15,16
2016-09-16,14
2016-09-17,12
2016-09-18,13
2016-09-19,14
2016-09-20,16
2016-09-21,16
2016-09-22,17
2016-09-23,15
2016-09-24,11
2016-09-25,13
2016-09-26,15
2016-09-27,15
2016-09-28,16
2016-09-29,16
2016-09-30,17
2016-10-01,15
2016-10-02,24
2016-10-03,28
2016-10-04,24
2016-10-05,22
2016-10-06,21
2016-10-07,25
2016-10-08,20
2016-10-09,20
2016-10-10,26
2016-10-11,27
2016-10-12,32
2016-10-13,36
2016-10-14,29
2016-10-15,20
2016-10-16,23
2016-10-17,26
2016-10-18,27
2016-10-19,27
2016-10-20,25
2016-10-21,23
2016-10-22,20
2016-10-23,22
2016-10-24,24
2016-10-25,22
2016-10-26,22
2016-10-27,22
2016-10-28,22
2016-10-29,17
2016-10-30,18
2016-10-31,20
2016-11-01,19
2016-11-02,22
2016-11-03,100
2016-11-04,56
2016-11-05,34
2016-11-06,31
2016-11-07,29
2016-11-08,27
2016-11-09,46
2016-11-10,25
2016-11-11,26
2016-11-12,17
2016-11-13,16
2016-11-14,19
2016-11-15,25
2016-11-16,20
2016-11-17,19
2016-11-18,18
2016-11-19,15
2016-11-20,16
2016-11-21,18
2016-11-22,19
2016-11-23,21
2016-11-24,21
2016-11-25,17
2016-11-26,14
2016-11-27,15
2016-11-28,19
2016-11-29,20
2016-11-30,18
2016-12-01,20
2016-12-02,22
2016-12-03,16
2016-12-04,17
2016-12-05,33
2016-12-06,38
2016-12-06,31
2016-12-07,42
2016-12-08,39
2016-12-09,28
2016-12-10,18
2016-12-11,21
2016-12-12,25
2016-12-13,21
2016-12-14,21
2016-12-15,20
2016-12-16,22
2016-12-17,17
2016-12-18,16
2016-12-19,19
2016-12-20,17
2016-12-21,19
2016-12-22,17
2016-12-23,15
2016-12-24,14
2016-12-25,14
